id,title,base_price,sold_quantity,rating_average,visits
MCO497301208,Doble Extractor Leche Materna Eléctrico Real Bubee 2019,73000,500,4.6,153639
MCO644901123,Bañera Tina Plegable Con Termómetro Y Cojín Bebe En Silicona,189000,500,5,16588
MCO608500080,Tapete De Juego Plegable Gateo Bebé 200x180x1 Cm Doble Faz,159900,155,4.7,12853
MCO861238980,Bolso Pañalera Con Cambiador De Bebe Plegable + Usb,107900,211,4.9,6568
MCO556546982,Bolsas Almacenamiento Leche Materna  100 Unidades Americana,72990,500,4.9,17020
MCO649399747,Morral Pañalera Tipo Cuna Con Cambiador 3 En 1 Usb,124900,625,4.8,22847
MCO558608316,"Coche Para Bebe Reversible Con Cubrepies,toldillo, Pañalera ",260000,335,4.9,159282
MCO536096623,Silla Mecedora Vibradora Musical Y Anti Reflujo 3 En 1 Ibaby,166900,1050,4.7,127987
MCO534866569,Fular Elástico Cargador Porta Bebe - Fácil De Poner- Chaleco,59900,1377,4.7,99983
MCO463784658,Extractor Doble Leche Materna Electrico Lactancia,78600,500,4.6,105710
MCO516038436,Babero Delantal Bebés Y Niños De Manga Larga Impermeable,9900,1205,4.6,46110
MCO558638412,Almohada Embarazo Cuerpo Entero - Gris,99000,975,4.6,102320
MCO528504204,Doble Extractor Leche Materna Eléctrico,79210,500,4.8,81210
MCO512967357,Broches O Sellos Para Cajones O Puertas Paquete X 10,24350,750,4.2,29151
MCO572556993,Tapete Fomi Fomy Foamy Niños Y Bebes Abacedario X 26 Piezas,85000,500,4.1,25993
MCO529668007,Silla Comedor Bebe 3en1 Happy Baby Azul Cp7000,188435,450,4.4,71931
MCO615904207,Gimnasio Piano Musical Con Movil Huanger Oferta,105000,505,4.5,31494
MCO601252530,Pañalera Cambiador Bebé - Bolso 3 En 1,116500,1255,4.8,99958
MCO621923021,"Silla Mecedora, Vibradora Y Musical Para Bebe 3 En 1 Jon Di",166900,120,4.9,6440
MCO598909424,Fular Cargador Elástico Porta Bebe Cozytos 5 Colores Disp.  ,58900,614,4.6,20053
MCO611440270,Minoxidil Forte 5% Colmed X 100 Ml - mL a $478,47779,5000,4.4,96637
MCO481972170,Fibras Capilares Queratina 27.5gr. Toppik - G A $ 1375,24500,1385,4.5,112456
MCO621547380,Perfumero Recargable Portátil 5ml ¡!disponible¡!,5950,350,4.6,3326
MCO835391374,Cepillo Dental Eco Bamboo Bambú - Unidad a $1591,1591,11150,4.8,13175
MCO589168999,Desodorante Natural De Piedra Alumbre - g a $207,20700,500,4.9,18232
MCO565779928,Tonico Despigmentante (x2) - Unidad a $25500,51000,500,4.4,80244
